FITPROB_Ibc,FITPROB_II,FITPROB_Ia,SNRMAX1,SNRMAX2,SHAPEPAR_Ia,COLORPAR_Ia,CHI2_Ibc,CHI2_Ia,CHI2_II,TOBSMIN_Ibc,DMU_Ia,TOBSMIN_II,Z_Ia,ITYPE_BEST,CLASS
0.9998,0.99866,0.99999,91.54664,-9.0,-2.65625,-0.6,0.0400227,0.00903546,0.10553,-9.745,0.5,0.255,0.12512,-9,CC
0.73976,0.00449275,0.97793,28.88721,10.01441,-3.0,-1.0,4.34109,1.61824,18.81225,-5.725,-0.1,9.275,0.55972,0,CC
0.82734,0.76473,0.85461,19.60911,7.93207,-0.25,0.6,3.57384,3.31303,4.12965,18.286,1.1,8.286,0.11188,0,Ia
0.91665,0.85168,0.94783,4.09856,3.82632,-3.0,0.5,3.91917,3.3695,4.79646,-2.789,0.5,13.211,0.14963,0,KN
0.8614,0.91876,0.93094,43.8596,30.36477,0.78125,0.9,3.95233,3.05376,3.23498,-8.759,-0.3,28.241,0.14308,0,CC
0.99482,0.99456,0.99651,59.79029,40.39361,-1.28125,0.2,1.35786,1.2129,1.37769,27.241,1.1,16.241,0.0836618,0,CC
0.99623,0.97323,0.9969,11.38541,10.02325,1.8125,0.4,1.23964,1.17297,2.22762,10.241,0.7,6.241,0.21883,0,Ia
0.89501,0.46329,0.92954,12.06021,8.05327,2.5,0.9,4.23877,3.70838,8.72229,3.23,1.5,8.23,0.12512,0,Ia
0.40612,0.27628,0.45205,22.04108,19.305,1.8125,0.9,10.40011,9.86915,12.13254,8.276,-0.5,6.276,0.17894,0,CC
0.42394,0.15812,0.75825,11.46678,4.6743,-2.65625,-1.0,5.99332,3.39225,9.28605,-2.749,1.3,7.251,1.4,0,KN
0.00012523,4.7273e-06,0.0116727,6.9411,5.11927,-3.0,0.3,29.34361,18.0667,36.98216,-3.759,-0.5,12.241,0.25591,0,KN
0.97156,0.81736,0.99339,18.92972,13.27689,2.15625,1.0,3.94291,2.7736,6.77042,17.273,1.5,8.273,0.0978374,0,Ia
0.51399,0.0167901,0.46767,11.0299,3.21408,-3.0,-1.0,5.23542,5.615,15.48683,45.286,-0.5,5.286,1.33877,1,KN
0.54328,0.82478,0.97448,29.98799,1.89335,2.5,-1.0,7.90959,2.71661,4.34455,-19.724,0.1,-20.724,0.95728,0,KN
6.07317e-28,4.46162e-19,6.08123e-09,16.36067,14.44052,-3.0,-1.0,144.4018,51.91025,101.85595,50.238,1.5,50.238,0.0500232,0,KN
5.7628e-15,6.22342e-17,1.03041e-07,7.80057,-0.107777,-3.0,-0.9,81.85459,45.6329,91.45257,-3.762,-0.5,9.238,1.33877,0,KN
